,movie,url,vector
0,Toy Story,http://www.imsdb.com/scripts/Toy-Story.html,"[158, 86, 220, 27, 14, 13, 0, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 11, 25, 0, 0, 0, 0, 1, 0, 6, 0, 0, 0, 3, 1, 0, 0, 0]"
1,Heat,http://www.imsdb.com/scripts/Heat.html,"[370, 113, 283, 4, 38, 3, 0, 1, 3, 0, 3, 0, 4, 4, 0, 0, 0, 103, 139, 2, 2, 16, 12, 13, 0, 2, 0, 2, 0, 1, 11, 0, 0, 0]"
2,The American President,"http://www.imsdb.com/scripts/American-President,-The.html","[166, 66, 87, 4, 19, 4, 0, 79, 9, 0, 0, 0, 0, 1, 2, 0, 0, 99, 96, 0, 8, 15, 16, 2, 0, 3, 0, 8, 0, 3, 6, 6, 0, 0]"
3,Casino,http://www.imsdb.com/scripts/Casino.html,"[566, 270, 325, 19, 63, 7, 0, 12, 2, 0, 11, 0, 21, 3, 1, 1, 0, 228, 267, 1, 7, 21, 10, 3, 0, 33, 0, 4, 0, 1, 31, 2, 0, 0]"
4,Sense and Sensibility,http://www.imsdb.com/scripts/Sense-and-Sensibility.html,"[292, 142, 155, 11, 27, 2, 4, 97, 14, 0, 3, 0, 13, 2, 0, 1, 1, 244, 346, 0, 15, 21, 7, 15, 1, 35, 0, 6, 0, 26, 6, 0, 0, 0]"
5,Four Rooms,http://www.imsdb.com/scripts/Four-Rooms.html,"[245, 86, 220, 23, 134, 3, 0, 11, 2, 0, 1, 0, 2, 6, 0, 0, 0, 203, 198, 0, 9, 12, 32, 6, 0, 12, 0, 0, 0, 2, 48, 3, 0, 0]"
6,Copycat,http://www.imsdb.com/scripts/Copycat.html,"[396, 132, 169, 9, 64, 6, 1, 6, 1, 0, 17, 0, 0, 6, 2, 0, 0, 396, 407, 1, 25, 46, 19, 6, 0, 2, 1, 0, 0, 1, 6, 0, 0, 0]"
7,Assassins,http://www.imsdb.com/scripts/Assassins.html,"[451, 86, 261, 20, 41, 5, 0, 4, 1, 0, 1, 0, 0, 0, 1, 0, 0, 210, 192, 0, 8, 23, 3, 3, 0, 5, 0, 1, 0, 0, 1, 0, 0, 0]"
8,Leaving Las Vegas,http://www.imsdb.com/scripts/Leaving-Las-Vegas.html,"[311, 114, 195, 19, 25, 25, 0, 3, 2, 0, 1, 0, 0, 5, 1, 0, 0, 213, 258, 3, 11, 23, 47, 0, 0, 1, 0, 1, 0, 0, 11, 1, 0, 0]"
9,Se7en,http://www.imsdb.com/scripts/Se7en.html,"[585, 148, 472, 25, 124, 8, 6, 4, 18, 0, 7, 0, 1, 7, 0, 0, 0, 81, 96, 2, 2, 36, 4, 2, 0, 2, 0, 0, 0, 0, 11, 0, 0, 0]"
